symbol	anterior	approximant	back	consonantal	constricted glottis	continuant	coronal	delayed_release	diphthong	distributed	dorsal	front	front-diphthong	high	labial	labiodental	lateral	long	low	nasal	round	segment	sonorant	spread glottis	stress	strident	syllabic	tap	tense	trill	voice
t	1	-1	0	1	-1	-1	1	-1	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1
ʏ̥	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	0	1	-1	-1	-1	-1
ɣ̟̥	0	-1	-1	1	-1	1	-1	1	0	0	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
ɟ̥	-1	-1	-1	1	-1	-1	1	-1	0	1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1
q	0	-1	1	1	-1	-1	-1	-1	0	0	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
ɘ̥	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	0	1	-1	1	-1	-1
v̥	0	-1	0	1	-1	1	-1	1	0	0	-1	0	0	0	1	1	-1	-1	0	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
ħ	0	-1	1	1	-1	1	-1	1	0	0	1	-1	0	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
œ̃ː	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	-1	1	-1	-1	1	-1	1	1	1	1	-1	-1	0	1	-1	-1	-1	1
t̪s̪	1	-1	0	1	-1	-1	1	1	0	1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	-1
ɴ̥	0	-1	1	1	-1	-1	-1	0	0	0	1	-1	0	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	0	-1	-1	0	-1	-1
kx	0	-1	0	1	-1	-1	-1	1	0	0	1	0	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
ɤ̃ː	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	1	-1	1	-1	1	1	-1	-1	0	1	-1	1	-1	1
ɑ̃	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	-1	1	1	-1	1	1	-1	-1	0	1	-1	0	-1	1
ʟ̠̥	0	1	1	1	-1	1	-1	0	0	0	1	-1	0	1	-1	-1	1	-1	-1	-1	-1	1	1	-1	-1	0	-1	-1	0	-1	-1
t͡ɬ	1	-1	0	1	-1	-1	1	1	0	-1	-1	0	0	0	-1	-1	1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1
ɡ̠͡ɣ̠	0	-1	1	1	-1	-1	-1	1	0	0	1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	1
ɭ̥	-1	1	0	1	-1	1	1	0	0	-1	-1	0	0	0	-1	-1	1	-1	0	-1	-1	1	1	-1	-1	-1	-1	-1	0	-1	-1
uː	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	1	1	-1	-1	1	-1	-1	1	1	1	-1	-1	0	1	-1	1	-1	1
u̥	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	0	1	-1	1	-1	-1
d	1	-1	0	1	-1	-1	1	-1	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	1
d͡ʒ	-1	-1	0	1	-1	-1	1	1	0	1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	1
ɡɣ	0	-1	0	1	-1	-1	-1	1	0	0	1	0	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	1
ĩː	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	1	-1	-1	-1	1	-1	1	-1	1	1	-1	-1	0	1	-1	1	-1	1
ə̃ː	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	1	-1	1	-1	1	1	-1	-1	0	1	-1	-1	-1	1
ʏ̃ː	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	1	1	-1	-1	1	-1	1	1	1	1	-1	-1	0	1	-1	-1	-1	1
ɶ	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	-1	1	-1	-1	-1	1	-1	1	1	1	-1	-1	0	1	-1	0	-1	1
ʊ	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	0	1	-1	-1	-1	1
